application_id,filing_year,tech_domain,applicant_type,country_origin,industry_sector,international_filing,prior_examination,commercial_potential,market_size_estimate,processing_fee_usd,number_of_claims,number_of_citations,complexity_level,examiner_load,novelty_score,grant_probability,office_action_count
PAT-2002-186,2024,ai_ml,2,USA,software,True,1,Yes,40.33,4573.84,47,40,3,Medium,Marginal,Low,3
PAT-2002-187,2021,ai_ml,1,KOR,software,False,0,Yes,74.86,2084.87,31,13,3,Low,Breakthrough,Medium,5
PAT-2002-188,2020,iot,1,DEU,hardware,True,1,No,62.85,9730.03,16,25,1,Low,Significant,Medium,5
PAT-2002-189,2021,ai_ml,1,DEU,software,True,1,No,15.59,5529.54,27,34,3,Low,Significant,Very High,3
PAT-2002-190,2023,iot,1,DEU,telecom,True,1,Yes,49.71,9711.82,23,25,1,Medium,Marginal,Low,0
PAT-2002-191,2023,quantum,2,CHN,hardware,True,1,No,20.17,5120.43,40,36,3,Medium,Moderate,Medium,5
PAT-2002-192,2023,quantum,3,GBR,hardware,False,1,Yes,348.89,6854.73,19,34,2,Medium,Significant,Medium,2
PAT-2002-193,2023,ai_ml,3,USA,healthtech,False,1,Yes,55.63,6513.26,28,34,3,Low,Moderate,Low,2
PAT-2002-194,2021,iot,3,CHN,healthtech,False,1,Yes,500.0,8037.87,20,28,2,Medium,Significant,Medium,3
PAT-2002-195,2024,iot,2,JPN,hardware,False,1,Yes,76.97,6590.67,19,31,1,High,Significant,Very High,3
PAT-2002-196,2022,blockchain,3,GBR,fintech,False,0,Yes,216.43,7907.09,16,8,2,Medium,Marginal,Very Low,2
PAT-2002-197,2023,iot,1,USA,hardware,True,1,No,19.21,6123.04,20,22,2,Low,Moderate,High,2
PAT-2002-198,2020,ai_ml,1,KOR,software,False,1,Yes,88.2,3302.95,50,36,3,Low,Breakthrough,High,3
PAT-2002-199,2024,cybersecurity,3,RUS,telecom,False,1,No,62.52,7573.07,20,20,2,Low,Marginal,Low,2
PAT-2002-200,2021,ai_ml,1,JPN,healthtech,True,0,Yes,500.0,9277.93,16,19,2,Low,Moderate,Medium,2
PAT-2002-201,2020,quantum,2,DEU,hardware,True,1,No,171.8,3724.09,22,40,3,Low,Marginal,Low,2
PAT-2002-202,2022,iot,3,RUS,hardware,False,1,Yes,500.0,8916.06,28,24,1,Low,Marginal,Low,1
PAT-2002-203,2020,ai_ml,3,USA,software,False,1,No,29.09,7050.35,48,36,3,Medium,Moderate,Medium,2
PAT-2002-204,2021,iot,3,USA,healthtech,True,1,Yes,51.72,9940.12,8,27,2,High,Moderate,High,5
PAT-2002-205,2023,ai_ml,1,GBR,software,False,1,Yes,103.12,4896.55,39,39,2,Medium,Significant,High,2
PAT-2002-206,2022,quantum,3,USA,hardware,True,0,Yes,51.3,9457.81,23,19,2,Low,Moderate,High,1
PAT-2002-207,2024,iot,1,DEU,healthtech,True,1,No,61.05,9764.27,23,20,1,Medium,Marginal,Very Low,3
PAT-2002-208,2021,ai_ml,3,USA,software,False,0,Yes,52.69,6429.74,25,9,2,Low,Moderate,Low,2
PAT-2002-209,2023,ai_ml,1,CHN,software,True,1,Yes,193.69,7989.69,49,34,2,Medium,Breakthrough,Very High,2
PAT-2002-210,2022,quantum,1,DEU,software,True,1,Yes,35.39,2691.2,34,27,3,Medium,Significant,Very High,3
PAT-2002-211,2023,ai_ml,1,USA,software,True,1,Yes,301.57,8927.41,19,31,3,Medium,Breakthrough,High,6
PAT-2002-212,2022,cybersecurity,1,USA,software,True,1,No,8.16,3278.36,17,23,1,Medium,Significant,Medium,2
PAT-2002-213,2022,quantum,1,GBR,software,False,1,Yes,68.0,1956.09,26,36,2,Medium,Breakthrough,High,1
PAT-2002-214,2024,iot,4,IND,hardware,False,0,No,24.03,3519.29,16,7,2,Medium,Significant,Medium,1
PAT-2002-215,2021,ai_ml,1,USA,hardware,True,1,No,87.09,2895.29,38,31,3,Low,Moderate,Low,6
PAT-2002-216,2021,iot,4,RUS,hardware,False,0,No,59.35,8491.02,16,14,1,High,Marginal,Very Low,2
PAT-2002-217,2023,cybersecurity,3,USA,fintech,False,1,Yes,500.0,2739.41,11,21,3,Medium,Moderate,Low,3
PAT-2002-218,2023,ai_ml,1,CHN,software,False,1,Yes,30.12,7192.26,37,34,3,Medium,Moderate,Medium,4
PAT-2002-219,2020,ai_ml,1,CHN,fintech,False,1,Yes,59.15,3894.94,23,39,2,Medium,Significant,Very High,1
PAT-2002-220,2022,ai_ml,1,DEU,software,True,1,No,13.72,1209.25,48,42,3,Low,Breakthrough,High,6
PAT-2002-221,2024,blockchain,2,USA,fintech,True,0,Yes,500.0,5888.29,5,10,2,Low,Marginal,Very Low,3
PAT-2002-222,2023,iot,1,CHN,software,False,1,Yes,500.0,4810.6,9,28,2,Medium,Moderate,High,2
PAT-2002-223,2024,blockchain,3,CHN,fintech,False,0,Yes,34.45,1206.01,16,8,3,High,Marginal,Very Low,5
PAT-2002-224,2022,iot,3,GBR,hardware,False,0,Yes,163.67,8267.95,17,11,2,Low,Significant,Low,1
PAT-2002-225,2023,ai_ml,1,CHN,healthtech,False,1,Yes,135.97,8058.98,45,37,3,Low,Breakthrough,Very High,3
PAT-2002-226,2021,ai_ml,2,USA,hardware,False,1,No,32.24,8506.83,29,43,2,Medium,Moderate,High,0
PAT-2002-227,2024,ai_ml,1,KOR,fintech,False,0,Yes,228.44,4169.45,16,7,3,Medium,Significant,Medium,4
PAT-2002-228,2022,cybersecurity,4,DEU,software,False,1,No,25.73,893.93,8,17,1,High,Moderate,High,1
PAT-2002-229,2023,iot,3,DEU,telecom,False,0,Yes,349.97,9280.98,21,11,2,Low,Moderate,Low,3
PAT-2002-230,2022,blockchain,2,USA,fintech,True,0,No,9.05,3474.33,19,11,1,Low,Moderate,Medium,1
PAT-2002-231,2022,quantum,2,CHN,software,False,1,Yes,53.99,6354.73,18,31,3,Medium,Marginal,Very Low,4
PAT-2002-232,2023,ai_ml,2,JPN,software,False,1,Yes,135.08,3642.48,46,36,2,High,Significant,High,3
PAT-2002-233,2022,ai_ml,2,USA,software,True,1,No,111.63,8206.53,24,31,3,Medium,Marginal,Very Low,4
PAT-2002-234,2024,ai_ml,1,CHN,software,False,1,Yes,165.53,1501.05,33,36,2,High,Breakthrough,Very High,3
PAT-2002-235,2022,cybersecurity,3,USA,software,False,0,Yes,87.46,9083.87,18,10,1,Medium,Moderate,Low,1
PAT-2002-236,2023,iot,1,DEU,telecom,False,0,Yes,223.09,2612.86,8,10,2,Low,Marginal,Very Low,3
PAT-2002-237,2021,iot,2,USA,healthtech,False,1,Yes,84.9,8361.47,20,19,1,Medium,Significant,Very High,2
PAT-2002-238,2022,ai_ml,2,JPN,software,True,1,Yes,87.0,6528.47,37,34,3,Medium,Significant,Very High,3
PAT-2002-239,2022,ai_ml,3,RUS,software,True,0,Yes,451.93,8811.86,40,15,3,Medium,Moderate,Medium,2
PAT-2002-240,2020,iot,3,USA,telecom,False,0,No,127.77,5159.01,29,11,2,Medium,Breakthrough,Medium,2
PAT-2002-241,2020,blockchain,3,USA,telecom,True,0,Yes,59.72,1351.65,12,9,1,Medium,Moderate,High,1
PAT-2002-242,2023,cybersecurity,4,USA,fintech,False,0,Yes,65.72,9695.67,12,11,2,Low,Significant,High,2
PAT-2002-243,2023,quantum,1,CHN,software,False,1,No,41.9,7990.38,15,40,3,Medium,Moderate,High,4
PAT-2002-244,2023,blockchain,3,IND,fintech,True,0,No,63.34,6421.93,8,9,1,Low,Moderate,Medium,1
PAT-2002-245,2020,iot,1,CHN,hardware,False,1,Yes,74.23,9990.73,18,23,2,Medium,Marginal,Low,1
PAT-2002-246,2021,cybersecurity,3,USA,software,False,1,Yes,51.75,3551.87,15,22,3,High,Marginal,Very Low,3
PAT-2002-247,2021,blockchain,3,USA,fintech,True,0,Yes,75.49,3638.59,8,7,1,Medium,Moderate,Medium,2
PAT-2002-248,2023,iot,3,DEU,hardware,True,1,No,31.44,8455.72,24,26,1,Medium,Significant,Very High,2
PAT-2002-249,2024,cybersecurity,4,IND,software,False,1,No,64.95,7160.48,10,22,1,Medium,Significant,Very High,1
PAT-2002-250,2021,ai_ml,2,JPN,healthtech,True,1,Yes,149.32,3484.02,49,39,3,Low,Moderate,Low,4
PAT-2002-251,2023,cybersecurity,3,DEU,fintech,False,0,Yes,269.75,8845.1,15,13,1,Low,Moderate,Medium,1
PAT-2002-252,2020,ai_ml,2,KOR,healthtech,False,0,No,40.23,1156.23,43,16,3,Medium,Moderate,Low,3
PAT-2002-253,2021,iot,4,GBR,hardware,False,1,No,21.79,3171.96,26,29,1,Medium,Moderate,Medium,1
PAT-2002-254,2020,quantum,1,DEU,hardware,True,1,Yes,50.49,6345.51,47,33,3,Low,Significant,High,6
PAT-2002-255,2021,iot,3,DEU,healthtech,False,1,Yes,24.36,901.11,10,25,1,Medium,Significant,Medium,5
PAT-2002-256,2023,blockchain,3,DEU,fintech,False,1,Yes,364.57,8812.21,18,23,1,Medium,Moderate,Medium,2
PAT-2002-257,2024,iot,3,USA,telecom,False,1,No,37.71,8178.45,19,14,2,Medium,Moderate,Medium,0
PAT-2002-258,2021,ai_ml,2,JPN,healthtech,True,0,Yes,160.57,6522.69,39,18,2,Medium,Marginal,Low,2
PAT-2002-259,2022,ai_ml,1,USA,software,True,1,No,8.19,4959.69,26,25,3,Low,Significant,High,2
PAT-2002-260,2023,ai_ml,3,CHN,software,True,1,No,2.17,7611.18,21,31,3,High,Moderate,Low,4
PAT-2002-261,2024,iot,2,CHN,telecom,False,0,Yes,87.31,4505.85,11,11,3,High,Significant,Medium,4
PAT-2002-262,2023,blockchain,3,USA,fintech,True,0,Yes,12.7,8912.96,19,6,1,High,Marginal,Very Low,3
PAT-2002-263,2021,ai_ml,1,CHN,software,True,1,Yes,500.0,7021.3,31,40,3,Medium,Moderate,High,2
PAT-2002-264,2023,cybersecurity,3,IND,software,False,1,No,24.6,4437.01,27,23,2,Low,Marginal,Very Low,1
PAT-2002-265,2021,blockchain,3,IND,software,True,1,Yes,45.91,2627.84,16,20,2,Low,Moderate,Medium,3
PAT-2002-266,2024,blockchain,4,USA,software,False,0,No,8.55,3855.12,12,8,2,High,Marginal,Low,3
PAT-2002-267,2022,blockchain,3,GBR,fintech,True,1,No,86.26,2878.52,9,27,1,Low,Marginal,Low,2
PAT-2002-268,2023,ai_ml,1,USA,hardware,True,1,Yes,161.49,8746.67,19,36,2,Low,Significant,Very High,4
PAT-2002-269,2020,iot,3,IND,telecom,False,1,Yes,233.17,5698.0,8,34,1,Low,Moderate,High,0
PAT-2002-270,2022,blockchain,2,USA,fintech,False,1,No,19.6,5203.72,8,25,3,High,Marginal,Very Low,4
PAT-2002-271,2024,ai_ml,2,JPN,healthtech,False,1,Yes,500.0,4263.0,49,46,2,High,Significant,Very High,4
PAT-2002-272,2023,cybersecurity,3,RUS,software,True,0,Yes,350.42,6114.05,26,12,2,Medium,Moderate,Medium,0
PAT-2002-273,2022,quantum,2,JPN,hardware,False,1,Yes,116.98,6244.89,35,42,3,Low,Marginal,Very Low,2
PAT-2002-274,2024,iot,1,USA,hardware,True,1,No,57.69,3705.77,12,26,3,High,Significant,Medium,7
PAT-2002-275,2024,cybersecurity,3,USA,software,False,1,Yes,17.61,7679.76,17,15,1,Low,Marginal,Very Low,1
PAT-2002-276,2021,cybersecurity,1,USA,software,True,1,No,27.02,9631.6,13,27,2,Low,Significant,Very High,1
PAT-2002-277,2022,ai_ml,1,KOR,software,True,1,No,84.71,4956.8,42,25,2,High,Breakthrough,Very High,3
PAT-2002-278,2022,iot,2,USA,hardware,True,1,Yes,20.0,2149.43,27,26,1,Medium,Moderate,Medium,2
PAT-2002-279,2023,iot,3,DEU,hardware,False,1,Yes,33.8,2431.54,29,27,1,High,Moderate,High,3
PAT-2002-280,2021,ai_ml,2,CHN,fintech,False,1,Yes,152.35,4672.4,41,30,2,High,Marginal,Low,2
PAT-2002-281,2021,ai_ml,2,USA,healthtech,True,1,No,2.63,7950.48,26,42,3,Medium,Marginal,Low,4
PAT-2002-282,2024,ai_ml,3,IND,hardware,True,1,No,80.49,954.9,16,46,3,Medium,Moderate,Low,4
PAT-2002-283,2024,iot,4,USA,software,False,1,No,126.74,7814.86,20,24,2,Medium,Marginal,Very Low,1
PAT-2002-284,2023,quantum,2,CHN,hardware,True,1,Yes,13.91,9766.01,19,34,3,Medium,Moderate,High,2
PAT-2002-285,2024,quantum,3,GBR,hardware,False,1,No,24.04,997.78,34,30,3,Medium,Significant,Medium,5
PAT-2002-286,2023,ai_ml,1,CHN,fintech,True,1,Yes,33.13,4067.32,38,40,2,Medium,Significant,High,2
PAT-2002-287,2023,ai_ml,2,USA,fintech,True,0,Yes,500.0,8295.43,21,10,2,Low,Moderate,Low,1
PAT-2002-288,2023,blockchain,4,RUS,fintech,True,1,Yes,32.79,8282.13,14,20,3,Medium,Marginal,Low,3
PAT-2002-289,2022,iot,3,USA,hardware,True,0,No,32.33,4971.69,17,12,2,Medium,Significant,High,2
PAT-2002-290,2022,cybersecurity,3,CHN,software,False,1,No,19.11,666.05,24,27,2,Medium,Moderate,Medium,0
PAT-2002-291,2021,cybersecurity,4,GBR,software,False,0,No,30.94,4425.11,8,10,2,High,Moderate,Low,3
PAT-2002-292,2023,cybersecurity,2,JPN,telecom,True,1,No,68.7,5341.12,23,28,2,Medium,Moderate,Medium,2
PAT-2002-293,2021,cybersecurity,2,JPN,software,True,0,Yes,38.49,7795.35,8,6,3,Low,Breakthrough,Medium,8
PAT-2002-294,2021,cybersecurity,3,DEU,software,False,1,Yes,96.53,5981.58,22,23,1,Low,Significant,Medium,1
PAT-2002-295,2022,blockchain,2,USA,telecom,False,1,No,23.61,4465.48,16,24,1,Medium,Marginal,Low,4
PAT-2002-296,2022,ai_ml,3,DEU,software,False,0,No,16.31,3266.85,18,21,2,Medium,Moderate,Medium,1
PAT-2002-297,2021,ai_ml,2,USA,software,True,0,No,127.99,4170.68,28,12,2,Medium,Significant,Medium,3
PAT-2002-298,2023,blockchain,2,KOR,fintech,False,1,Yes,60.71,5280.31,12,19,3,Medium,Marginal,Very Low,2
PAT-2002-299,2024,ai_ml,2,DEU,healthtech,True,1,Yes,6.37,8158.69,50,39,3,Medium,Breakthrough,High,4
PAT-2002-300,2021,ai_ml,1,KOR,healthtech,False,1,Yes,36.66,1105.95,19,40,2,High,Breakthrough,Very High,3
PAT-2002-301,2020,cybersecurity,2,JPN,telecom,True,0,No,10.05,8180.0,28,11,2,High,Moderate,Medium,2
PAT-2002-302,2021,ai_ml,2,CHN,software,False,1,Yes,64.96,4225.36,24,36,3,Low,Moderate,High,2
PAT-2002-303,2023,cybersecurity,1,GBR,software,False,1,Yes,83.47,3163.0,26,22,2,Low,Moderate,Medium,2
PAT-2002-304,2023,quantum,1,CHN,hardware,False,1,No,74.37,6919.47,41,58,2,Medium,Moderate,Low,2
PAT-2002-305,2020,iot,2,CHN,hardware,True,1,Yes,163.56,4875.2,21,27,1,Medium,Significant,Very High,6
PAT-2002-306,2023,iot,1,JPN,healthtech,True,1,Yes,490.5,6797.17,17,22,3,Low,Moderate,Medium,4
PAT-2002-307,2020,ai_ml,2,USA,software,False,1,Yes,86.28,2290.52,29,37,3,Medium,Significant,High,4
PAT-2002-308,2022,iot,1,CHN,healthtech,True,1,No,76.18,7537.57,28,17,3,High,Significant,High,5
PAT-2002-309,2024,ai_ml,2,USA,hardware,True,1,No,178.64,6375.43,40,36,2,Medium,Moderate,Medium,1
PAT-2002-310,2021,cybersecurity,2,USA,software,True,1,Yes,333.05,6691.54,9,20,1,Medium,Marginal,Very Low,1
PAT-2002-311,2021,ai_ml,1,JPN,software,True,1,No,21.1,2130.93,20,40,2,High,Moderate,Medium,2
PAT-2002-312,2022,ai_ml,2,CHN,fintech,False,1,Yes,500.0,2820.24,39,25,2,Low,Moderate,Low,2
PAT-2002-313,2023,iot,3,IND,hardware,True,0,No,48.78,9673.97,19,5,2,Low,Significant,High,3
PAT-2002-314,2024,iot,4,RUS,hardware,True,1,Yes,102.89,5505.6,16,20,2,Low,Moderate,Low,2
PAT-2002-315,2024,blockchain,4,USA,fintech,True,1,Yes,175.66,4743.89,17,23,2,High,Marginal,Very Low,3
PAT-2002-316,2020,iot,3,USA,hardware,False,0,No,9.4,3594.19,25,8,3,Medium,Moderate,High,3
PAT-2002-317,2020,ai_ml,1,USA,software,True,1,No,43.76,5519.86,21,40,2,Medium,Moderate,High,3
PAT-2002-318,2023,iot,1,KOR,telecom,False,1,No,3.38,8261.22,27,24,2,Low,Breakthrough,High,3
PAT-2002-319,2021,ai_ml,2,CHN,healthtech,False,1,Yes,272.54,2904.06,38,34,3,Medium,Marginal,Very Low,3
PAT-2002-320,2024,ai_ml,1,USA,healthtech,True,1,Yes,198.15,2095.4,43,58,2,Medium,Significant,Very High,2
PAT-2002-321,2023,ai_ml,2,JPN,fintech,True,1,Yes,10.54,3747.25,23,40,3,High,Moderate,Medium,3
PAT-2002-322,2020,ai_ml,3,USA,software,False,1,Yes,12.72,5425.46,34,45,2,High,Significant,Medium,4
PAT-2002-323,2023,ai_ml,1,GBR,fintech,True,1,Yes,371.97,9801.55,46,37,3,Medium,Moderate,Medium,2
PAT-2002-324,2021,blockchain,4,USA,software,False,1,No,5.94,3830.16,15,25,1,Medium,Marginal,Low,1
PAT-2002-325,2022,ai_ml,2,KOR,software,True,1,No,7.65,3285.59,30,45,3,Low,Significant,High,5
PAT-2002-326,2022,ai_ml,1,USA,hardware,False,1,No,16.3,9249.83,21,39,2,Medium,Moderate,Medium,2
PAT-2002-327,2022,iot,2,CHN,hardware,False,0,Yes,305.1,3476.66,9,8,1,Low,Moderate,Medium,0
PAT-2002-328,2023,ai_ml,1,KOR,software,False,1,Yes,433.83,5773.26,32,39,3,Low,Significant,High,3
PAT-2002-329,2023,iot,1,GBR,telecom,True,1,Yes,192.24,980.36,18,21,1,Medium,Moderate,Medium,1
PAT-2002-330,2024,cybersecurity,1,USA,software,False,1,No,43.93,563.25,15,24,2,High,Significant,High,5
PAT-2002-331,2024,blockchain,2,USA,fintech,False,0,No,10.78,6896.84,15,11,1,Medium,Moderate,Medium,1
PAT-2002-332,2022,cybersecurity,3,RUS,telecom,True,1,No,13.49,3832.0,21,33,2,High,Moderate,High,2
PAT-2002-333,2020,ai_ml,1,CHN,hardware,True,1,No,8.03,1556.65,22,39,3,Medium,Moderate,Medium,3
PAT-2002-334,2023,ai_ml,2,CHN,software,False,1,Yes,391.88,8638.87,44,43,2,High,Breakthrough,High,4
PAT-2002-335,2024,iot,2,CHN,telecom,False,1,Yes,500.0,6945.36,20,26,1,High,Moderate,Medium,2
PAT-2002-336,2021,quantum,1,KOR,hardware,False,1,No,13.99,3711.09,49,36,2,Low,Moderate,Low,1
PAT-2002-337,2022,quantum,2,USA,software,True,1,No,4.95,4876.81,20,34,2,Low,Moderate,Medium,3
PAT-2002-338,2022,ai_ml,2,USA,software,True,1,Yes,35.03,2397.11,17,25,2,High,Marginal,Low,4
PAT-2002-339,2020,quantum,2,KOR,hardware,False,1,No,117.75,5303.66,33,22,2,High,Marginal,Very Low,1
PAT-2002-340,2023,blockchain,4,RUS,fintech,False,1,Yes,495.08,1599.56,13,21,3,Low,Moderate,Medium,3
PAT-2002-341,2022,ai_ml,1,USA,software,True,1,No,45.8,4772.86,46,36,2,Low,Breakthrough,Medium,4
PAT-2002-342,2023,ai_ml,2,JPN,software,True,1,Yes,354.94,5581.18,19,49,2,High,Significant,Very High,2
PAT-2002-343,2023,cybersecurity,4,USA,software,False,1,Yes,22.39,9104.32,14,28,2,Low,Moderate,High,2
PAT-2002-344,2023,ai_ml,3,RUS,healthtech,False,0,Yes,167.33,7977.06,45,16,3,Low,Moderate,Low,4
PAT-2002-345,2022,quantum,2,USA,hardware,True,1,No,11.46,4250.95,26,45,2,Low,Marginal,Very Low,0
PAT-2002-346,2021,iot,2,USA,hardware,True,1,Yes,251.36,5215.25,18,23,1,Medium,Significant,Very High,4
PAT-2002-347,2023,iot,2,DEU,software,True,1,No,67.61,513.51,23,15,1,High,Marginal,Very Low,5
PAT-2002-348,2023,iot,4,IND,hardware,True,1,No,48.26,4382.64,29,26,1,High,Moderate,High,1
PAT-2002-349,2022,cybersecurity,1,DEU,software,True,1,No,53.56,8520.51,25,25,3,High,Significant,Medium,5
PAT-2002-350,2024,ai_ml,1,CHN,software,True,0,Yes,17.34,3925.28,37,9,3,Low,Breakthrough,Low,5
PAT-2002-351,2020,ai_ml,1,CHN,software,False,1,Yes,224.64,3885.26,33,28,2,Medium,Breakthrough,High,2
PAT-2002-352,2024,iot,3,CHN,telecom,False,1,Yes,148.58,775.56,17,22,2,Medium,Moderate,Low,1
PAT-2002-353,2020,blockchain,3,RUS,fintech,True,0,Yes,224.29,2567.58,9,8,2,Medium,Significant,High,1
PAT-2002-354,2021,ai_ml,2,CHN,software,False,1,Yes,87.16,7907.25,50,33,2,Low,Moderate,Medium,1
PAT-2002-355,2022,ai_ml,1,KOR,hardware,False,1,No,11.4,4260.34,23,30,3,High,Moderate,High,4
PAT-2002-356,2020,ai_ml,1,USA,software,True,1,No,9.89,8019.76,22,39,2,High,Significant,Medium,2
PAT-2002-357,2020,ai_ml,2,CHN,software,True,1,Yes,25.96,8845.3,33,57,2,Medium,Marginal,Low,1
PAT-2002-358,2020,ai_ml,3,USA,software,False,1,Yes,35.22,8153.27,17,30,3,High,Moderate,Low,5
PAT-2002-359,2022,cybersecurity,2,CHN,software,False,1,Yes,214.88,8329.74,25,16,3,Medium,Moderate,Low,2
PAT-2002-360,2023,ai_ml,1,CHN,fintech,False,1,No,16.46,6652.19,36,37,3,Medium,Significant,High,4
PAT-2002-361,2020,cybersecurity,3,CHN,software,True,1,Yes,370.28,4782.5,15,29,2,Low,Significant,Medium,3
PAT-2002-362,2023,cybersecurity,3,USA,telecom,True,1,No,27.4,9688.24,20,24,3,Medium,Moderate,Medium,4
PAT-2002-363,2023,ai_ml,1,USA,software,True,1,No,47.3,9661.84,45,28,3,Medium,Significant,High,3
PAT-2002-364,2021,iot,1,KOR,healthtech,False,1,No,94.9,2847.57,15,13,2,High,Moderate,Medium,3
PAT-2002-365,2020,iot,3,USA,software,False,1,No,46.19,8152.3,15,24,1,Low,Breakthrough,Medium,1
PAT-2002-366,2024,iot,3,USA,telecom,False,1,Yes,133.83,4366.82,14,23,3,Medium,Significant,Very High,3
PAT-2002-367,2023,ai_ml,2,USA,software,True,1,No,22.8,4210.73,46,43,3,Low,Marginal,Very Low,2
PAT-2002-368,2022,ai_ml,2,USA,software,True,1,Yes,19.12,5209.7,46,24,3,Medium,Moderate,Low,4
PAT-2002-369,2023,ai_ml,2,JPN,hardware,True,1,Yes,261.77,3872.74,17,39,3,Low,Significant,High,3
PAT-2002-370,2020,iot,4,IND,telecom,False,1,No,6.0,5206.01,15,37,2,Low,Moderate,Medium,1
PAT-2002-371,2022,cybersecurity,3,IND,software,True,1,No,5.2,1195.29,17,18,2,Low,Moderate,Low,1
PAT-2002-372,2023,iot,3,DEU,telecom,False,1,No,20.26,7478.43,24,31,3,Medium,Moderate,Medium,2
PAT-2002-373,2021,iot,4,IND,hardware,False,1,No,26.05,8483.08,16,21,2,Low,Significant,Medium,1
PAT-2002-374,2023,cybersecurity,1,USA,software,True,1,No,30.72,7721.78,19,30,2,Low,Moderate,High,2
PAT-2002-375,2022,iot,2,USA,hardware,True,1,Yes,99.37,1270.04,15,27,1,Low,Significant,Medium,2
PAT-2002-376,2023,ai_ml,1,GBR,healthtech,True,1,Yes,490.16,1834.7,42,46,3,Low,Significant,Medium,6
PAT-2002-377,2022,cybersecurity,2,USA,software,True,1,No,69.12,9611.91,26,31,1,Low,Significant,Medium,2
PAT-2002-378,2022,blockchain,2,CHN,fintech,True,1,No,6.19,3554.3,5,17,2,High,Moderate,High,2
PAT-2002-379,2021,ai_ml,1,KOR,software,False,1,No,85.54,7080.66,32,19,2,Medium,Significant,Very High,6
PAT-2002-380,2021,iot,4,USA,hardware,False,1,No,39.84,1840.29,27,20,1,Medium,Moderate,Low,1
PAT-2002-381,2023,cybersecurity,4,RUS,software,True,0,Yes,319.3,4141.57,20,14,2,Medium,Moderate,Medium,1
PAT-2002-382,2020,ai_ml,3,GBR,software,True,1,No,56.39,4376.1,25,33,2,Low,Significant,Medium,1
PAT-2002-383,2020,blockchain,3,USA,fintech,False,1,Yes,154.44,2964.89,10,23,2,Medium,Marginal,Very Low,2
PAT-2002-384,2021,ai_ml,1,JPN,healthtech,True,1,No,40.18,3353.73,34,33,3,Medium,Moderate,Low,5
PAT-2002-385,2021,ai_ml,1,USA,healthtech,True,0,No,23.18,3720.77,30,10,3,Medium,Breakthrough,Medium,4
PAT-2002-386,2023,ai_ml,3,USA,software,True,0,No,18.71,784.08,50,10,3,Low,Marginal,Low,2
PAT-2002-387,2022,iot,4,DEU,healthtech,False,0,Yes,6.08,3640.91,13,12,2,Low,Moderate,Low,1
PAT-2002-388,2024,cybersecurity,2,USA,software,True,1,Yes,125.48,5975.09,19,22,1,High,Moderate,Medium,2
PAT-2002-389,2020,ai_ml,1,JPN,software,True,1,No,11.95,3566.0,22,37,2,High,Breakthrough,High,4
PAT-2002-390,2023,ai_ml,2,DEU,hardware,True,1,No,41.23,4859.95,34,43,3,Medium,Marginal,Very Low,4
PAT-2002-391,2022,ai_ml,2,DEU,software,True,1,No,66.49,5083.5,15,31,2,Low,Moderate,Medium,1
PAT-2002-392,2022,ai_ml,1,USA,hardware,True,1,No,14.23,5503.4,21,33,3,Low,Significant,Medium,3
PAT-2002-393,2024,iot,4,USA,hardware,False,0,No,39.08,9918.88,24,7,2,Medium,Moderate,High,1
PAT-2002-394,2024,iot,2,USA,software,True,1,Yes,70.99,871.81,16,24,2,Low,Marginal,Very Low,0
PAT-2002-395,2024,iot,1,GBR,telecom,True,1,No,32.42,2150.25,26,22,2,Low,Moderate,Medium,3
PAT-2002-396,2021,blockchain,3,USA,telecom,False,1,No,30.14,8329.32,8,30,2,Medium,Marginal,Low,2
PAT-2002-397,2021,iot,3,IND,hardware,False,0,Yes,293.94,7459.77,10,8,2,High,Moderate,Medium,6
PAT-2002-398,2023,ai_ml,3,RUS,fintech,False,0,Yes,75.71,3945.45,20,18,3,High,Moderate,Medium,3
PAT-2002-399,2021,ai_ml,2,KOR,software,False,1,Yes,175.64,1566.99,34,58,2,Medium,Moderate,Low,1
PAT-2002-400,2023,cybersecurity,3,IND,software,False,1,No,146.64,8195.5,17,25,2,High,Marginal,Very Low,3
PAT-2003-001,2022,quantum,3,CHN,hardware,False,1,Yes,55.86,5415.45,30,43,3,High,Moderate,Low,3
PAT-2003-002,2022,cybersecurity,3,RUS,fintech,True,1,Yes,137.48,8108.55,13,21,2,Medium,Moderate,Medium,1
PAT-2003-003,2023,cybersecurity,3,USA,software,True,0,Yes,416.56,8412.03,15,9,2,Medium,Significant,Medium,5
PAT-2003-004,2023,iot,4,DEU,telecom,False,0,No,24.96,2150.47,28,7,2,Low,Significant,Medium,2
PAT-2003-005,2020,cybersecurity,3,IND,software,False,0,No,6.12,3879.73,9,14,1,Low,Moderate,Low,2
PAT-2003-006,2020,blockchain,4,USA,fintech,True,1,No,60.19,4216.49,15,28,2,Low,Moderate,Medium,2
PAT-2003-007,2023,ai_ml,2,KOR,software,True,1,Yes,500.0,2905.21,15,49,3,High,Moderate,Low,5
PAT-2003-008,2022,ai_ml,2,USA,software,True,1,No,13.62,9693.73,30,31,2,Low,Moderate,Low,2
PAT-2003-009,2021,ai_ml,2,USA,fintech,True,1,Yes,46.05,8617.07,48,45,3,Medium,Significant,High,5
PAT-2003-010,2022,ai_ml,3,USA,fintech,True,0,Yes,120.36,5289.61,21,13,3,High,Moderate,Medium,4
